ticker,float_M,os_M
BSLK,4.44,4.59
BSQR,17.67,19.87
BSVN,4.15,9.52
BTAI,30.34,30.88
BTBD,3.19,6.18
BTBT,348.01,349.19
BTCS,42.66,49.78
BTCT,9.5,9.52
BTCY,26.74,28.44
BTDR,139.32,241.79
BTM,4.16,11.13
BTMD,24.81,32.05
BTOC,15.06,45.44
BTOG,1.48,1.49
BTQ,96.65,141.31
BTTC,5.83,10.77
BTTX,35.86,51.33
BUDA,5.5,13.07
BULL,439.32,532.57
BURU,178.87,179.02
BUUU,2.96,16.5
BVC,0.81,8.4
BVS,33.41,83.53
BW,114.29081,147.02081
BWAY,37.58,40.09
BWEN,21.89,23.4
BWMN,15.08,17.51
BXC,7.6,7.78
BXRX,10.68,10.68
BYAH,4.08,4.51
BYFC,5.99,9.28
BYND,511.78,515.34
BYRN,16.21,22.69
BYSI,30.83,41.12
BYU,32.14,49.95
BZAI,94.07,142.3
BZFD,17.18,78.98
BZH,25.31,27.33
BZUN,44.02,58.14
CAAS,10.28,30.17
CABA,160.46,163.05
CABR,7.29,9.09
CADL,64.16,73.27
CALA,4.61,4.87
CALC,10.9,15.8
CAMP,20.19,51.93
CAMP_730255_Delisted,,
CAN,647.77,722.3
CANF,3.42,3.42
CANG,185.86,358.61
CANO,2.27,5.41
CAPR,50.25,57.91
CAPS,9.02,12.63
CAPT,26.02,32.37
CAR,17.49,35.26
CARM,22.96,41.85
CARV,4.86,5.1
CASA,47.01,99.11
CASI,16.37,20.55
CAST,15.14,41.59
CATO,16.26,19.96
CATX,108.11,120.51
CAUD,10.56,22.67
CBAN,19.98,21.17
CBAT,77.85,88.65
CBAY,110.75,114.72
CBD,131.67,269.98
CBFV,4.51,5.07
CBIO,19.21,27.57
CBMB,3.2,3.52
CBRS,34.38,219.61
CBUS,67.44,76.33
CCCC,124,126.45
CCEC,14,59.49
CCEL,3.71,8.06
CCG,15.97,83.02
CCHH,6.65,39.95
CCLD,41.18,42.49
CCLP,142,142
CCM,1.39,4.34
CCRD,5.58,7.79
CCSI,17.87,18.4
CCTG,3.04,3.91
CD,32.12,79.44
CDAK,27.62,36.83
CDIO,2.66,2.96
CDLX,48.75,57.61
CDRO,14.79,45.47
CDT,0.46,4.86
CDTG,0.358,3.0212
CDTX,31.24,31.44
CDXS,89.17,90.9
CDZI,57.28,84.09
CECO,29.9,35.87
CEI,282,282
CELC,44.12,48.77
CELL,89.48,99.3
CELP,11.49,
CELU,8.87,28.95
CELZ,3.66,3.7
CEMI,36.41,36.73
CENN,1.32,2.47
CERO,45.08,45.11
CERS,193.89,200.37
CETX,11.12,11.12
CETY,7.43,11.12
CFBI,,
CFBK,4.22,6.5
CFMS,7.82,7.88
CFOR,4.33,12.18
CFRX,3.63,10.7
CGBS,434.39,461.31
CGC,360.34,377.86
CGEM,53.22,61.46
CGEN,94.5,94.55
CGNT,55.68,73.08
CGRN,18.32,19.45
CGTL,8.73,25.73
CGTX,83.17,89.5
CHAI,7.12,23.94
CHCI,3.23,10.26
CHGG,106.83,111.96
CHMG,4.15,4.82
CHMI,36.51,36.74
CHNR,0.55,1.26
CHOW,11.03,35.49
CHPT,23.6,24.42
CHR,1.70667,1.73
CHRA,2.00217,3.37
CHRN,3.5,141.78
CHRS,149.61,154.25
CHSN,3.623,3.6391
CHUY,16.93,17.23
CIA,45.61,50.55
CIFR,312.65,409.05
CIH,54.21,90.42
CIIT,1.60429,3.62
CING,13.1,13.47
CIR,19.95,20.39
CISO,40.46,45.31
CISS,0.53,0.53
CITR,16.88,22.36
CIX,1.52,12.32
CIZN,4.86,5.62
CJMB,2.65,5.65
CKPT,82.24,87.02
CKX,1.41,2.05
CLAR,31.26,38.44
CLDB,,
CLDI,19.18,19.31
CLDX,78.33,78.49
CLEU,3.15,3.37
CLFD,11.18,13.59
CLGN,12.76,14.42
CLIK,2.94,3.26
CLIR,5.10778,6.18778
CLLS,44.64,72.34
CLMB,17.67,18.6
CLNN,10.64,12.78
CLOV,408.08,526.68
CLPR,11.85,16.16
CLPS,14.38,29.84
CLPT,28.02,29.99
CLRB,17.25,17.36
CLRO,0.89,2.68
CLSD,4.47,5.23
